page,row,file,class,method,regex,input,count
79,176,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testNoSlug(org.eclipse.lyo.ldp.server.jena.test.SlugTest),42
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),type,1
79,176,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),org.eclipse.lyo.ldp.server.jena.test.SlugTest,9
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),/,2
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),-,3
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),},4
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),[,16
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),host,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),A-Z,2
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),"{1,31",1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),:,2
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),nN,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),!,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),?,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),A-Z0-9.+_,2
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),uU,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),+@,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),;,1
79,176,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),org.eclipse.lyo.ldp.server.jena.test.SlugTest,4
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),(,4
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),),5
79,176,ComponentPattern.java,org.apache.jena.iri.impl.ComponentPattern,analyse,[^;~]*,/home/pwang7/RepoReaper/79_176/org.eclipse.lyo.ldp.server.jena/,1
79,176,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),null,4
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),A-Z0-9,2
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),],16
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),,4
79,176,Parser.java,org.apache.jena.iri.impl.Parser,<init>,(([^:/?#]*):)?(//((([^/?#@]*)@)?(\[[^/?#]*\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\?([^#]*))?(#(.*))?,http://jena.hpl.hp.com/#arq,1
79,176,Parser.java,org.apache.jena.iri.impl.Parser,<init>,(([^:/?#]*):)?(//((([^/?#@]*)@)?(\[[^/?#]*\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\?([^#]*))?(#(.*))?,http://jena.apache.org/#riot,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),(?,1
79,176,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testSlugSpace(org.eclipse.lyo.ldp.server.jena.test.SlugTest),42
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),=,1
79,176,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testSlugContainerTrailingSlash(org.eclipse.lyo.ldp.server.jena.test.SlugTest),42
79,176,Parser.java,org.apache.jena.iri.impl.Parser,<init>,(([^:/?#]*):)?(//((([^/?#@]*)@)?(\[[^/?#]*\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\?([^#]*))?(#(.*))?,http://jena.hpl.hp.com/#tdb,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),aid,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),rR,1
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),@{,3
79,176,SlugTest.java,org.eclipse.lyo.ldp.server.jena.test.SlugTest,testNoSlug,\Qhttp://example.com/resources/junit\E\d+,http://example.com/resources/junit1,2
79,176,ComponentPatternParser.java,org.apache.jena.iri.impl.ComponentPatternParser,classify,([(](?![?]))|([(][?])|([)])|(\[)|(\])|([@][{])|([}]|[a-z]-[a-z]),0-9,1
