"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pe:Person rdf:type owl:Class ; ')",[33629]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range pm:MessageHeader ;')",[31106]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""candidate"" : ""urn:udson:pearson.com/sms/prod:user/372639"",')",[21406]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'This value is given by:')","[44725, 51424]"
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://www.imsglobal.org/imspurl/lti/v2/xsd/ltid#')","[15249, 20234]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:taxon rdf:type rdf:Property ;')",[48640]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      pm:body;')","[28641, 40810]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:min rdf:type owl:FunctionalProperty ;')",[52149]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testGwtClass(org.semantictools.gwt.generator.GwtTypeGeneratorTest)')","[463, 811]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""Specifies the assignment\'s type (Quiz, Test, Homework, etc.).  Note that the assignment type may change with each use of the assignment.  In one case, an assignment may be treated as a Quiz in another case it may be treated as a Test or a Homework.  For this reason, the AssignmentType is associated with the AssignmentAdministration rather than the underlying Assignment object itself.""')",[39824]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""Signifies that the associated object (AssignmentResult or GradebookItem) has been soft-deleted.  "" .')",[52903]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:startDateTime;')",[39505]
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://www.w3.org/2001/XMLSchema#string')","[7799, 8228]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""Specifies how a reporting system or grade book should interpret the AssignmentResult.  In particular, it specifies whether the AssignmentResult contains the effective score that counts towards the learner\'s grade, or whether the AssignmentResult has been superseded by another attempt by the learner on the assignment, or whether the AssignmentResult has been soft-deleted."" .')",[50612]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pm:metadata rdf:type owl:FunctionalProperty ;')",[31048]
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://www.w3.org/2002/07/owl#')","[9612, 10171, 10642, 11025, 12791, 13318, 13800, 14671, 15108, 15638, 17664, 18215, 18719, 19630, 20087, 20641, 53534, 54286, 54885, 55433, 56032, 56784, 57434, 58186, 58785, 59384, 60136, 61332, 61715, 62186, 63125, 63684, 64623, 64915, 65562, 66237, 67581, 68344, 69283, 70002, 70338]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""The GradebookItem that is being created or updated.""')",[40897]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:normalMaximum rdf:type owl:FunctionalProperty ;')",[51163]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""sourceId"" : ""urn:udson:pearson.com/xl"",')","[21136, 35057, 35627, 36137]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pm:Message rdfs:subClassOf')",[26379]
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', '!')",[4903]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    bind:onProperty pm:metadata ;')",[26437]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    totalScore = normalScore + extraCreditScore - penalty')","[42144, 49945]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""Specifies a numeric range of values between some minimum and maximum value.  Whether the end points are included in the range is determined by the context in which the ValueRange is used.  See the description of the OrderedValue class for details."" .')",[46059]
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', ';')",[1218]
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', 'aid')",[1878]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""The letter grade, as it should appear in a grade book.""')",[45450]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""assignment"" : {')",[36377]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""A globally unique identifier for the set of related messages that make up a conversation between two or more parties participating in a workflow.  The party initiating the conversation (i.e. the party that started the workflow) determinses the value of the conversationId.  This identifier is used as a correlation id so that all messages in the conversation can be related to each other.  This is especially useful during troubleshooting.""')",[27800]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:Incomplete rdf:type po:ResultStatus ;')",[52700]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range pe:CourseSection ;')",[46987]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  ')","[21286, 35207]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""This container holds information about the result of a learner\'s interaction with an assignment.  Among other data, it contains the learner\'s score on the assignment."" .')",[42840]
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', '}')","[1548, 2043, 2593, 6113]"
