"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldAnnotationProcessor.java')","[12366, 35726, 59112, 82472, 106157, 129529, 152331]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TraceMethodVisitor.java')","[22166, 45526, 68912, 92272, 116202, 139084, 161886]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TypeQualifierDefault.java')","[14686, 38046, 61432, 84792, 108535, 131791, 154593]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VoidMethodStubbable.java')","[9366, 32726, 56112, 79472, 103082, 126604, 149406]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationHandler.java')","[22886, 46246, 69632, 92992, 116940, 139786, 162588]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractProcessTask.java')","[8166, 31526, 54912, 78272, 101852, 125434, 148236]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SerializableMethod.java')","[19686, 43046, 66432, 89792, 113660, 136666, 159468]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SourceInterpreter.java')","[13766, 37126, 60512, 83872, 107592, 130894, 153696]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FrameworkUsageValidator.java')","[19446, 42806, 66192, 89552, 113414, 136432, 159234]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JUnit45AndHigherRunnerImpl.java')","[21566, 44926, 68312, 91672, 115587, 138499, 161301]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ProcessArrayCallback.java')","[19126, 42486, 65872, 89232, 113086, 136120, 158922]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockAnnotationProcessor.java')","[1126, 24486, 47872, 71232, 94636, 118570, 141372]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Not.java')","[4646, 28006, 51392, 74752, 98244, 122002, 144804]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoLogger.java')","[5086, 28446, 51832, 75192, 98695, 122431, 145233]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultAnnotationEngine.java')","[13566, 36926, 60312, 83672, 107387, 130699, 153501]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TypeQualifierNickname.java')","[23006, 46366, 69752, 93112, 117063, 139903, 162705]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SerializingInstantiatorStrategy.java')","[14886, 38246, 61632, 84992, 108740, 131986, 154788]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'jmock-license.txt')","[6246, 29606, 52992, 76352, 99884, 123562, 146364]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockScanner.java')","[8566, 31926, 55312, 78672, 102262, 125824, 148626]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JUnitTool.java')","[5966, 29326, 52712, 76072, 99597, 123289, 146091]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InjectMocks.java')","[17366, 40726, 64112, 87472, 111282, 134404, 157206]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RunnerImpl.java')","[16966, 40326, 63712, 87072, 110872, 134014, 156816]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Nonnegative.java')","[17086, 40446, 63832, 87192, 110995, 134131, 156933]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoMethodProxy.java')","[23686, 47046, 70432, 93792, 117760, 140566, 163368]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Is.java')","[12166, 35526, 58912, 82272, 105952, 129334, 152136]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoCore.java')","[19646, 43006, 66392, 89752, 113619, 136627, 159429]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Mockito.java')","[10566, 33926, 57312, 80672, 104312, 127774, 150576]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Value.java')","[4126, 27486, 50872, 74232, 97711, 121495, 144297]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultMockitoConfiguration.java')","[19886, 43246, 66632, 89992, 113865, 136861, 159663]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Sun13SerializationInstantiator.java')","[16646, 40006, 63392, 86752, 110544, 133702, 156504]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TypeQualifier.java')","[18966, 42326, 65712, 89072, 112922, 135964, 158766]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VarargMatcher.java')","[23326, 46686, 70072, 93432, 117391, 140215, 163017]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LICENSE')","[21046, 44406, 67792, 91152, 115054, 137992, 160794]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Primitives.java')","[10526, 33886, 57272, 80632, 104271, 127735, 150537]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldInitializer.java')","[7846, 31206, 54592, 77952, 101524, 125122, 147924]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ProxyRefDispatcher.java')","[5246, 28606, 51992, 75352, 98859, 122587, 145389]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodProxy.java')","[11966, 35326, 58712, 82072, 105747, 129139, 151941]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MemberNode.java')","[6926, 30286, 53672, 77032, 100581, 124225, 147027]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FindingsListener.java')","[23246, 46606, 69992, 93352, 117309, 140137, 162939]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractClassLoader.java')","[5566, 28926, 52312, 75672, 99187, 122899, 145701]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ASMifierMethodVisitor.java')","[9526, 32886, 56272, 79632, 103246, 126760, 149562]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Whitebox.java')","[1646, 25006, 48392, 71752, 95169, 119077, 141879]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InstantiatorStrategy.java')","[8126, 31486, 54872, 78232, 101811, 125395, 148197]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CglibMockMaker.java')","[20446, 43806, 67192, 90552, 114439, 137407, 160209]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TooManyActualInvocations.java')","[14606, 37966, 61352, 84712, 108453, 131713, 154515]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'EvaluatorTemplate.groovy')","[15486, 38846, 62232, 85592, 109355, 132571, 155373]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SequenceNumber.java')","[10686, 34046, 57432, 80792, 104435, 127891, 150693]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'UnfinishedStubbingException.java')","[17126, 40486, 63872, 87232, 111036, 134170, 156972]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractInsnNode.java')","[9406, 32766, 56152, 79512, 103123, 126643, 149445]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationData.java')","[13846, 37206, 60592, 83952, 107674, 130972, 153774]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InnerClassNode.java')","[6886, 30246, 53632, 76992, 100540, 124186, 146988]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Block.java')","[4566, 27926, 51312, 74672, 98162, 121924, 144726]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConditionalStackTraceFilter.java')","[11766, 35126, 58512, 81872, 105542, 128944, 151746]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentMatcherStorageImpl.java')","[2526, 25886, 49272, 72632, 96071, 119935, 142737]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Predicate.java')","[1166, 24526, 47912, 71272, 94677, 118609, 141411]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassTransformer.java')","[606, 23966, 47352, 70712, 94103, 118063, 140865]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WillCloseWhenClosed.java')","[23566, 46926, 70312, 93672, 117637, 140449, 163251]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NoOpGenerator.java')","[7286, 30646, 54032, 77392, 100950, 124576, 147378]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Enhancer.java')","[13206, 36566, 59952, 83312, 107018, 130348, 153150]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjectInstantiator.java')","[19766, 43126, 66512, 89872, 113742, 136744, 159546]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Timeout.java')","[7566, 30926, 54312, 77672, 101237, 124849, 147651]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractClassFilterTransformer.java')","[18766, 42126, 65512, 88872, 112717, 135769, 158571]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConstructorDelegate.java')","[13486, 36846, 60232, 83592, 107305, 130621, 153423]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationMarker.java')","[21446, 44806, 68192, 91552, 115464, 138382, 161184]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AccessFieldTransformer.java')","[10726, 34086, 57472, 80832, 104476, 127930, 150732]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MulticastDelegate.java')","[15966, 39326, 62712, 86072, 109847, 133039, 155841]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnswersValidator.java')","[7126, 30486, 53872, 77232, 100786, 124420, 147222]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Callback.java')","[7646, 31006, 54392, 77752, 101319, 124927, 147729]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'HashCodeAndEqualsSafeSet.java')","[17006, 40366, 63752, 87112, 110913, 134053, 156855]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AddInitTransformer.java')","[4526, 27886, 51272, 74632, 98121, 121885, 144687]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodWriter.java')","[16566, 39926, 63312, 86672, 110462, 133624, 156426]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ASMifierClassVisitor.java')","[21606, 44966, 68352, 91712, 115628, 138538, 161340]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BasicInterpreter.java')","[15926, 39286, 62672, 86032, 109806, 133000, 155802]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Analyzer.java')","[2806, 26166, 49552, 72912, 96358, 120208, 143010]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TraceClassVisitor.java')","[14846, 38206, 61592, 84952, 108699, 131947, 154749]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InternalMockHandler.java')","[20526, 43886, 67272, 90632, 114521, 137485, 160287]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LazyLoader.java')","[11526, 34886, 58272, 81632, 105296, 128710, 151512]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockHandlerImpl.java')","[10806, 34166, 57552, 80912, 104558, 128008, 150810]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReflectUtils.java')","[5166, 28526, 51912, 75272, 98777, 122509, 145311]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IsEqual.java')","[12646, 36006, 59392, 82752, 106444, 129802, 152604]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LICENSE.txt')","[8766, 32126, 55512, 78872, 102467, 126019, 148821]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckReturnValue.java')","[17406, 40766, 64152, 87512, 111323, 134443, 157245]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Invocation.java')","[22726, 46086, 69472, 92832, 116776, 139630, 162432]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsSmartNulls.java')","[22966, 46326, 69712, 93072, 117022, 139864, 162666]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DescribedInvocation.java')","[9846, 33206, 56592, 79952, 103574, 127072, 149874]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DEPENDENCIES')","[11166, 34526, 57912, 81272, 104927, 128359, 151161]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'HandyReturnValues.java')","[18166, 41526, 64912, 88272, 112102, 135184, 157986]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ImmutableBean.java')","[4366, 27726, 51112, 74472, 97957, 121729, 144531]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArrayIterator.java')","[6286, 29646, 53032, 76392, 99925, 123601, 146403]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CaptorAnnotationProcessor.java')","[23366, 46726, 70112, 93472, 117432, 140254, 163056]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GreaterThan.java')","[12126, 35486, 58872, 82232, 105911, 129295, 152097]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Sets.java')","[12686, 36046, 59432, 82792, 106485, 129841, 152643]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Location.java')","[3686, 27046, 50432, 73792, 97260, 121066, 143868]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ParallelSorter.java')","[20166, 43526, 66912, 90272, 114152, 137134, 159936]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckForSigned.java')","[10206, 33566, 56952, 80312, 103943, 127423, 150225]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationInOrderFailure.java')","[10126, 33486, 56872, 80232, 103861, 127345, 150147]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjectMethodsGuru.java')","[2006, 25366, 48752, 72112, 95538, 119428, 142230]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MixinBeanEmitter.java')","[11926, 35286, 58672, 82032, 105706, 129100, 151902]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testOptions(org.nuunframework.cli.NuunCliPluginTest)')","[57, 280]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockingProgressListener.java')","[19366, 42726, 66112, 89472, 113332, 136354, 159156]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AddDelegateTransformer.java')","[8406, 31766, 55152, 78512, 102098, 125668, 148470]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationDataImpl.java')","[16446, 39806, 63192, 86552, 110339, 133507, 156309]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsArgumentAt.java')","[18846, 42206, 65592, 88952, 112799, 135847, 158649]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CapturingMatcher.java')","[2406, 25766, 49152, 72512, 95948, 119818, 142620]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockAwareVerificationMode.java')","[21806, 45166, 68552, 91912, 115833, 138733, 161535]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RunnerFactory.java')","[5406, 28766, 52152, 75512, 99023, 122743, 145545]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DebuggingClassWriter.java')","[20646, 44006, 67392, 90752, 114644, 137602, 160404]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Spy.java')","[2286, 25646, 49032, 72392, 95825, 119701, 142503]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInfo.java')","[3606, 26966, 50352, 73712, 97178, 120988, 143790]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultMockingDetails.java')","[13726, 37086, 60472, 83832, 107551, 130855, 153657]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TinyBitSet.java')","[3166, 26526, 49912, 73272, 96727, 120559, 143361]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BasicValue.java')","[22806, 46166, 69552, 92912, 116858, 139708, 162510]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Equality.java')","[14246, 37606, 60992, 84352, 108084, 131362, 154164]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FastConstructor.java')","[15166, 38526, 61912, 85272, 109027, 132259, 155061]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConstructorInjection.java')","[12486, 35846, 59232, 82592, 106280, 129646, 152448]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FilteredCGLIBProxyRealMethod.java')","[11726, 35086, 58472, 81832, 105501, 128905, 151707]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Matcher.java')","[23766, 47126, 70512, 93872, 117842, 140644, 163446]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockingProgressImpl.java')","[20606, 43966, 67352, 90712, 114603, 137563, 160365]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodFilterTransformer.java')","[6686, 30046, 53432, 76792, 100335, 123991, 146793]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Item.java')","[17566, 40926, 64312, 87672, 111487, 134599, 157401]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MixinEmitter.java')","[11286, 34646, 58032, 81392, 105050, 128476, 151278]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AddPropertyTransformer.java')","[8326, 31686, 55072, 78432, 102016, 125590, 148392]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnnotationWriter.java')","[3126, 26486, 49872, 73232, 96686, 120520, 143322]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TableSwitchInsnNode.java')","[21686, 45046, 68432, 91792, 115710, 138616, 161418]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SerializableNoOp.java')","[14446, 37806, 61192, 84552, 108289, 131557, 154359]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnnotationEngine.java')","[16846, 40206, 63592, 86952, 110749, 133897, 156699]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Converter.java')","[21486, 44846, 68232, 91592, 115505, 138421, 161223]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FixedValueGenerator.java')","[17966, 41326, 64712, 88072, 111897, 134989, 157791]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Times.java')","[20806, 44166, 67552, 90912, 114808, 137758, 160560]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MatcherDecorator.java')","[20886, 44246, 67632, 90992, 114890, 137836, 160638]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Incubating.java')","[3886, 27246, 50632, 73992, 97465, 121261, 144063]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Syntax.java')","[7006, 30366, 53752, 77112, 100663, 124303, 147105]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CapturesArguments.java')","[1526, 24886, 48272, 71632, 95046, 118960, 141762]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RejectModifierPredicate.java')","[8686, 32046, 55432, 78792, 102385, 125941, 148743]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CollectCreatedMocks.java')","[12206, 35566, 58952, 82312, 105993, 129373, 152175]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ThrowsExceptionClass.java')","[5726, 29086, 52472, 75832, 99351, 123055, 145857]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SpyOnInjectedFieldsHandler.java')","[18286, 41646, 65032, 88392, 112225, 135301, 158103]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodVisitorTee.java')","[16606, 39966, 63352, 86712, 110503, 133663, 156465]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StubbedInvocationMatcher.java')","[9886, 33246, 56632, 79992, 103615, 127111, 149913]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'PrintSettings.java')","[9006, 32366, 55752, 79112, 102713, 126253, 149055]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ProcessSwitchCallback.java')","[4166, 27526, 50912, 74272, 97752, 121534, 144336]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ParametersAreNonnullByDefault.java')","[19326, 42686, 66072, 89432, 113291, 136315, 159117]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ASMifierAnnotationVisitor.java')","[3966, 27326, 50712, 74072, 97547, 121339, 144141]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CGLIBProxyRealMethod.java')","[18926, 42286, 65672, 89032, 112881, 135925, 158727]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'And.java')","[2126, 25486, 48872, 72232, 95661, 119545, 142347]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MANIFEST.MF')","[6766, 30126, 53512, 76872, 100417, 124069, 146871]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GeneratorStrategy.java')","[22126, 45486, 68872, 92232, 116161, 139045, 161847]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'logback.xml')","[18366, 41726, 65112, 88472, 112307, 135379, 158181]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Exclusive.java')","[18246, 41606, 64992, 88352, 112184, 135262, 158064]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GenericMaster.java')","[21726, 45086, 68472, 91832, 115751, 138655, 161457]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InjectMocksScanner.java')","[6006, 29366, 52752, 76112, 99638, 123328, 146130]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodAdapter.java')","[17046, 40406, 63792, 87152, 110954, 134092, 156894]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LazyLoaderGenerator.java')","[20366, 43726, 67112, 90472, 114357, 137329, 160131]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NeverWantedButInvoked.java')","[1486, 24846, 48232, 71592, 95005, 118921, 141723]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Label.java')","[23206, 46566, 69952, 93312, 117268, 140098, 162900]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AdditionalAnswers.java')","[9286, 32646, 56032, 79392, 103000, 126526, 149328]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Interpreter.java')","[18726, 42086, 65472, 88832, 112676, 135730, 158532]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassNode.java')","[18486, 41846, 65232, 88592, 112430, 135496, 158298]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockingStartedListener.java')","[21286, 44646, 68032, 91392, 115300, 138226, 161028]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SimpleMockitoLogger.java')","[966, 24326, 47712, 71072, 94472, 118414, 141216]"
