"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testSimpleLink(de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest)')","[57, 142]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testPostfixedLink(de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest)')","[99, 186]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest')","[36, 297]"
"('WomToDiffNodeConverterTest.java', 'de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest', 'testName', '[^\\s\\[]', 'x')",[230]
"('WomToDiffNodeConverterTest.java', 'de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest', 'testName', '[^\\s\\[]', ' [')",[274]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testName(de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest)')","[78, 164]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testPrefixedLink(de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest)')","[120, 208]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'null')",[17]
"('WomToDiffNodeConverterTest.java', 'de.fau.cs.osr.hddiff.wom.WomToDiffNodeConverterTest', 'testName', '[^\\s\\[]', ' ')",[252]
