"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testAsymetricDisparities(org.literacybridge.TestConsistencyChecker)')",[874]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testStartingSurvey(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[397]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testParsingOldFormats(org.literacybridge.stats.model.TestSyncDirId)')",[687]
"('DeploymentId.java', 'org.literacybridge.stats.model.DeploymentId', 'parseContentUpdate', '(\\D*-?)(\\d+)-(?:(?:\\D*-)*)(\\d+)(\\D*)', '2013-2')","[6372, 6730]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testEmptyStatAggregator(org.literacybridge.dashboard.aggregation.TestStatAggregator)')",[1124]
"('SyncDirId.java', 'org.literacybridge.stats.model.SyncDirId', 'parseV1SyncTime', '(\\d+)m(\\d+)d(\\d+)h(\\d+)m(\\d+)s', 'SyncDevice1')",[1413]
"('DeploymentId.java', 'org.literacybridge.stats.model.DeploymentId', 'parseContentUpdate', '(\\D*-?)(\\d+)-(?:(?:\\D*-)*)(\\d+)(\\D*)', '2012-5')",[7078]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '\\d+p(.*)', 'ar0035c012pS18d14h22m59s306/217/216V')",[1799]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testLoadingFlashData(org.literacybridge.stats.formats.formats.flashData.TestFlashData)')",[21]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'checkForMatch', '(\\S+)\\s+@VOL=(\\d+)\\s+@Volt=(\\S+)\\s*', 'TB0003a2_2156B516 @VOL=03 @Volt=221')","[1994, 2809, 3278]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parse', '([^:]*):(\\w+):*\\s*(.*)', '0r0145c079p009d18h33m00s340/291/291V:SURVEY:taken')","[4090, 4411]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseAction', 'VOLTAGE DROP:\\s*([0-9.]+)v\\s*in\\s*(\\d+)\\s+sec', 'taken')","[4216, 4537]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '(0|(\\d+)r)(\\d+)c(\\d+)p\\D*(\\d+)d(\\d+)h(\\d+)m(\\d+)s(\\d+)/(\\d+)/(\\d+)V', '0r0032c012pS15d02h44m41s297/221/209V')",[1893]
"('DeploymentId.java', 'org.literacybridge.stats.model.DeploymentId', 'parseContentUpdate', '(\\D*-?)(\\d+)-(?:(?:\\D*-)*)(\\d+)(\\D*)', 'ContentPackage')",[1366]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseAction', 'VOLTAGE DROP:\\s*([0-9.]+)v\\s*in\\s*(\\d+)\\s+sec', 'RECORDED (secs): 0005')",[3895]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testEmptyStatAggregator(org.literacybridge.dashboard.aggregation.TestStatAggregator)')",[1144]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '\\d+p(.*)', '2r0096c008p023d18h18m53s401/314/314V')",[1435]
"('DeploymentId.java', 'org.literacybridge.stats.model.DeploymentId', 'parseContentUpdate', '(\\D*-?)(\\d+)-(?:(?:\\D*-)*)(\\d+)(\\D*)', '2012-4')","[7034, 7056]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parse', '([^:]*):(\\w+):*\\s*(.*)', '0r0027c011pS85d00h00m01s329/279/279V:SHUTTING DOWN')",[3942]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testMultipleAggregation(org.literacybridge.dashboard.aggregation.TestAggregations)')",[1248]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testRoundTripLongMessageId(org.literacybridge.stats.formats.formats.statsFile.TestStatsFile)')",[522]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '(0|(\\d+)r)(\\d+)c(\\d+)p\\D*(\\d+)d(\\d+)h(\\d+)m(\\d+)s(\\d+)/(\\d+)/(\\d+)V', '0r0039c012pS18d14h27m59s305/221/221V')","[2560, 2708, 2881, 3498]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testSimpleAggregation(org.literacybridge.dashboard.aggregation.TestAggregations)')",[1227]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'org.literacybridge.dashboard.aggregation.TestUpdateAggregations')","[6942, 6965, 6989, 7012]"
"('SyncDirId.java', 'org.literacybridge.stats.model.SyncDirId', 'parseSyncDir', '(\\d+)y(\\d+)m(\\d+)d(\\d+)h(\\d+)m(\\d+)s-(.*)', '1m3d17h18m4s')","[6056, 6123]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testUnpaused(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[292]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testCategory(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[250]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testContentDisparitiesNoChanges(org.literacybridge.TestConsistencyChecker)')",[853]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parse', '([^:]*):(\\w+):*\\s*(.*)', '0r0032c012pS15d02h44m41s297/221/209V:PLAY TB0003a2_2156B516 @VOL=03 @Volt=221')",[1843]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testSurveyApplied(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[418]
"('DeploymentId.java', 'org.literacybridge.stats.model.DeploymentId', 'parseContentUpdate', '(\\D*-?)(\\d+)-(?:(?:\\D*-)*)(\\d+)(\\D*)', '2013-13')","[6350, 6460, 6482]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '(0|(\\d+)r)(\\d+)c(\\d+)p\\D*(\\d+)d(\\d+)h(\\d+)m(\\d+)s(\\d+)/(\\d+)/(\\d+)V', '0r0032c012pS15d02h44m27s302/228/222V')",[2239]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testGettingAndSettingAnUpdate(org.literacybridge.dashboard.aggregation.TestUpdateAggregations)')",[1082]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testParseLogLineInfo(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[62]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testIds(org.literacybridge.stats.model.TestDeploymentId)')",[749]
"('SyncDirId.java', 'org.literacybridge.stats.model.SyncDirId', 'parseV1SyncTime', '(\\d+)m(\\d+)d(\\d+)h(\\d+)m(\\d+)s', '1m3d17h18m4s')","[6079, 6146]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '(0|(\\d+)r)(\\d+)c(\\d+)p\\D*(\\d+)d(\\d+)h(\\d+)m(\\d+)s(\\d+)/(\\d+)/(\\d+)V', '0r0027c011pS85d00h00m01s329/279/279V')",[3992]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseAction', 'VOLTAGE DROP:\\s*([0-9.]+)v\\s*in\\s*(\\d+)\\s+sec', 'DOWN')",[4068]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseAction', 'VOLTAGE DROP:\\s*([0-9.]+)v\\s*in\\s*(\\d+)\\s+sec', '')","[2636, 2957, 3105, 3426, 3574]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseAction', 'VOLTAGE DROP:\\s*([0-9.]+)v\\s*in\\s*(\\d+)\\s+sec', '00037a_9_3DCBA2D0 -> 9')",[3722]
"('DeploymentId.java', 'org.literacybridge.stats.model.DeploymentId', 'parseContentUpdate', '(\\D*-?)(\\d+)-(?:(?:\\D*-)*)(\\d+)(\\D*)', 'Unknown')",[6394]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '\\d+p(.*)', '0r0035c012pS18d14h17m12s311/217/217V')",[3621]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseLogLineInfo', '\\d+p(.*)', '0r0039c012pS18d14h28m01s303/221/221V')","[3004, 3152, 3325]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testIds(org.literacybridge.stats.model.TestDeploymentId)')",[729]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testParseLogLineInfo(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[82]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'org.literacybridge.stats.formats.formats.logFile.TestLogFileParser')","[5499, 5522, 5546, 5569]"
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parse', '([^:]*):(\\w+):*\\s*(.*)', '0r0035c012pS18d14h17m32s311/217/217V:TIME RECORDED (secs): 0005')",[3769]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testPlay(org.literacybridge.stats.formats.formats.logFile.TestLogFileParser)')",[187]
"('LogFileParser.java', 'org.literacybridge.stats.formats.logFile.LogFileParser', 'parseAction', 'VOLTAGE DROP:\\s*([0-9.]+)v\\s*in\\s*(\\d+)\\s+sec', 'useless')","[5154, 5475]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testEmptyAggregation(org.literacybridge.dashboard.aggregation.TestAggregations)')",[1186]
"('SyncDirId.java', 'org.literacybridge.stats.model.SyncDirId', 'parseSyncDir', '(\\d+)y(\\d+)m(\\d+)d(\\d+)h(\\d+)m(\\d+)s-(.*)', '12m30d17h18m4s')",[6011]
