"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', 'StringSeq')","[100847, 122364, 263825, 285342, 427975, 449492]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', '.register')","[123925, 286903, 451053]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', 'read-buffer')","[126720, 289698, 453848]"
"('core.clj', 'clojure.core$re_matches', 'invoke', '.*_SCHEMA$', 'ZMQ_THREADS_SCHEMA')","[57761, 220268, 384418]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', 'UUID')","[98662, 120333, 261640, 283311, 425790, 447461]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', 'input')","[102992, 103275, 105523, 105905, 106500, 107446, 107836, 109436, 112713, 113196, 114697, 115006, 116215, 116498, 265970, 266253, 268501, 268883, 269478, 270424, 270814, 272414, 275691, 276174, 277675, 277984, 279193, 279476, 430120, 430403, 432651, 433033, 433628, 434574, 434964, 436564, 439841, 440324, 441825, 442134, 443343, 443626]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', 'Cons')","[100277, 121685, 263255, 284663, 427405, 448813]"
"('core.clj', 'clojure.core$re_matches', 'invoke', '.*_SCHEMA$', 'NIMBUS_CHILDOPTS_SCHEMA')","[33441, 195796, 359946]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', 'ns')","[94810, 95915, 257788, 258893, 421938, 423043]"
"('LispReader.java', 'clojure.lang.LispReader', 'matchSymbol', '[:]?([\\D&&[^/]].*/)?([\\D&&[^/]][^/]*)', '.writeClassAndObject')","[104680, 111490, 111870, 126369, 267658, 274468, 274848, 289347, 431808, 438618, 438998, 453497]"
"('core.clj', 'clojure.core$re_matches', 'invoke', '.*_SCHEMA$', 'DRPC_REQUEST_TIMEOUT_SECS')","[40001, 202397, 366547]"
"('Resolver.java', 'org.yaml.snakeyaml.resolver.Resolver', 'resolve', '^(?:[-+]?0b[0-1_]+|[-+]?0[0-7_]+|[-+]?(?:0|[1-9][0-9_]*)|[-+]?0x[0-9a-fA-F_]+|[-+]?[1-9][0-9_]*(?::[0-5]?[0-9])+)$', '6703')","[8989, 80087, 151627, 242846, 315777, 406996]"
"('Resolver.java', 'org.yaml.snakeyaml.resolver.Resolver', 'resolve', '^(?:~|null|Null|NULL| )$', 'topology.max.task.parallelism')","[15109, 86411, 167743, 249272, 331893, 413422]"
