"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', '1.6.1')","[242259, 242823, 243387, 243951, 244608, 254571, 256827, 277128, 345885]"
"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'getSavedArtifactOrigin', '.*:(.*)#(.*)#(.*)#(.*)(\\.location)?', 'artifact:jackson-databind#jar#jar#2067388531')",[490725]
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', 'maven-metadata-sonatype-oss-public.xml.sha1')","[249027, 249591, 250155, 250719, 252879, 263406, 273933, 338207, 338783]"
"('IvyNode.java', 'org.apache.ivy.core.resolve.IvyNode', 'getMainConf', '(.+)\\((.*)\\)', 'default')","[58999, 59135, 59273, 71265, 71405, 71547, 72731, 91486, 92104, 93196, 114904, 115522, 151814, 161457, 162075, 163167, 178329, 178947, 180039, 194392, 195010, 216782, 362463, 363081, 364173, 364321, 372930, 373074, 381215, 381365, 381517, 382885, 383039, 383195, 384491, 392265, 392939, 394129, 399812, 400486, 423411, 427907, 428581, 429771, 435976, 436650, 437840, 444306, 444980, 462086, 472942, 473616, 474806, 474968, 484375, 484533]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', 'resolver-status.properties')","[234363, 234927, 235491, 236148, 237840, 251187, 253443, 255699, 259458, 269985, 341853]"
"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'getSavedArtifactOrigin', '.*:(.*)#(.*)#(.*)#(.*)(\\.location)?', 'artifact:project#pom.original#pom#-2136801551')",[131225]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'null')","[17, 35, 15224, 32849]"
"('LatestRevisionStrategy.java', 'org.apache.ivy.plugins.latest.LatestRevisionStrategy$MridComparator', 'isNumber', '\\d+', '4')","[290945, 291039, 299030, 299124, 308429, 308523, 310685, 310779, 316325, 316419, 327791, 327885, 328355, 328449, 328919, 329013, 329483, 329577, 342526, 342622, 343102, 343198, 349438, 349534]"
"('PatternFilenameFilter.java', 'com.google.common.io.PatternFilenameFilter', 'accept', '^reportconf.(yaml|json)$', 'reportconf.json')","[52804, 53751, 54698]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'com.base2.kagura.core.ExportHandlerTest')","[56, 77, 6615, 15359, 15494, 23692, 32994, 33164, 43298]"
