"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'En ik zing psalmen voor U onder de natiën.')","[345526, 345550]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'God is opgevaren!')","[1348017, 1348041, 1351545, 1351569]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'opwekking 390')","[627227, 627251]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'vult ons hart, waar wij ook gaan. ')","[1082339, 1082363]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Oorspr. titel: We are the army of God.')","[1030938, 1030962]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'dan zal Hij u steeds schenken')","[1313031, 1313055]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '            En uw genade,               )')","[706313, 706337]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'U wilt bij ons wonen,')","[364636, 364660]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'laat mij zien uw grote trouw.')","[1043090, 1043114]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'U, Leeuw van Juda, kwam bij ons.')","[445339, 445363]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Aan wie honger heeft en pijn.')","[970129, 970153]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '     dingen gedaan.')","[517761, 517785]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'wij loven en prijzen U, Heer.')","[1121931, 1121955]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'schitterend in zijn glorie.')","[709743, 709767]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Alle rijkdom en macht,')","[937887, 937911]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Welzalig hij,             )')","[391978, 392002, 392615, 392639, 393252, 393276]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '(c) Songs for the Nations / Universal Songs')","[695729, 695753, 696905, 696929]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Ons leven is uit God       )')","[516634, 516658]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'O, maak met mij de Here groot')","[792651, 792675]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '(vrouwen)  U geneest als wij bidden,')","[685096, 685120]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'mijn Vaste Burcht, bij wie ik schuil.')","[341900, 341924]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Gij zijt waardig, Gij zijt waardig,')","[241891, 241915]"
