"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', '.*pdf.*', 'text/j')","[3688, 3716]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^.*\\.anim[1-9j]$', 'a.de')","[35, 69, 381, 416, 4379, 4414, 4735, 4771]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^readme.*$', 'file:src/test/resources/a.zip!/')","[2014, 2049, 6414, 6450]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^makefile\\..*$', 'file:src/test/resources/a.zip!/')","[1943, 1978, 6341, 6377]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^makefile\\..*$', 'file:src/test/resources/a.zip!/e[xml]')","[878, 913, 5246, 5282]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^[0-9][0-9][0-9]\\.vdr$', 'file:src/test/resources/a.zip!/resources/eu/medsea/mimeutil/magic.mime')","[1162, 1197, 5538, 5574]"
"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', '.*abc.*', 'text/m')","[2377, 2405]"
"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', '.*pdf.*', 'xyz/abc')","[4315, 4343]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^[0-9][0-9][0-9]\\.vdr$', 'a.de')","[104, 138, 452, 487, 4450, 4485, 4808, 4844]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^.*\\.anim[1-9j]$', 'plaintext')","[6914, 6949, 7269, 7304]"
"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', '.*pdf.*', 'application/n')","[4030, 4058]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^.*\\.anim[1-9j]$', 'file:src/test/resources/a.zip!/resources/eu/medsea/mimeutil/magic.mime')","[1091, 1126, 5465, 5501]"
"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', 'text/.*', 'text/l')","[3061, 3089]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^[0-9][0-9][0-9]\\.vdr$', 'file:src/test/resources/a.zip!/resources/eu/medsea/mimeutil/mime-types.properties')","[1517, 1552, 5903, 5939]"
"('OpendesktopMimeDetector.java', 'eu.medsea.mimeutil.detector.OpendesktopMimeDetector', 'lookupGlobFileNameMatch', '^makefile\\..*$', 'Makefile')","[7766, 7801]"
"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', '.*pdf.*', 'application/x-pdf-something')","[4258, 4286]"
"('MimeTypeHashSetTest.java', 'eu.medsea.mimeutil.MimeTypeHashSetTest', 'testMatches', '.*pdf.*', 'text/x')","[3631, 3659]"
