"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'And I press +(| 20 | 30 | 55 |)')","[6486, 6516, 9984]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'scenario')","[491, 848, 1835, 2075, 3296, 3536, 4361, 4595]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given today is 2011-01-20(Scenario: Determine past date)')","[6966, 6992, 10207, 10230, 12529, 12600]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '| 2 | 3 | 10 |')","[5611, 7959, 11892, 11995]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'step')","[530, 569, 608, 887, 926, 965, 1796, 1997, 2036, 2237, 2276, 3257, 3458, 3497, 3698, 3737, 4400, 4439, 4478, 4634, 4673, 4712, 4751, 4790, 4829, 4868]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given a calculator I just turned on(| 20 | 37 | 57 |)')","[10034, 10059, 13275, 13318]"
"('PathWithLines.java', 'cucumber.runtime.PathWithLines', '<init>', '^([\\w\\W]*?):([\\d:]+)$', 'classpath:functional')",[290]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'And I press +(| 20 | 37 | 57 |)')","[6808, 6838, 10159]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given a calculator I just turned on(| 10 | 20 | 35 |)')","[9684, 9709, 12149, 12252]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When an Admin grants me Administrator rights(| Administrator | able to manage ANY user account on the system |)')","[8642, 8672, 11077]"
"('Utils.java', 'cucumber.runtime.Utils', 'toURL', '^(file|http|https):.*', 'target/cucumber/json/cucumber.json/')","[218, 256]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When I add 4 and 7(Scenario: Another Addition)')","[5137, 5163, 7485, 7511, 9286, 10529]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'comment')","[1916, 2156, 3377, 3617]"
"('Utils.java', 'cucumber.runtime.Utils', 'toURL', '^(file|http|https):.*', 'target/cucumber/html/')","[107, 145]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'And I add 2 and 3(| 2 | 3 | 10 |)')","[5758, 5788, 8106, 8136, 9609, 10852]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When I press +(| 20 | 30 | 55 |)')","[6368, 6398, 9934]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'background')","[1757, 3218]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When an Admin grants me Manager rights(| Manager | now able to manage your employee accounts |)')","[8438, 8468, 10977]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given a calculator I just turned on(| 2 | 3 | 10 |)')","[9509, 9534, 10752, 10777, 11943, 12046]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given a User has no money in their account(Scenario: Depositing money in to User's account should add money to the User's current balance)"")","[8997, 9023, 11217, 11240, 13361, 13404]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then I should receive an email with the body:(| Manager | now able to manage your employee accounts |)')","[8497, 8527, 11002]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Feature: Basic Arithmetic')","[4964, 7312]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Examples: ')",[8323]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then the result is 8(| 1 | 2 | 8 |)')","[5554, 5584, 7902, 7932, 9484, 10727]"
