"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'q')","[95486, 95535]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '5')","[4901, 4950, 9356, 9405, 83210, 83259, 100238, 100287]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', ')')","[5297, 5346, 11732, 11781, 23018, 23067, 28166, 28215, 49946, 49995, 54203, 54252, 100337, 100386]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$extractMutations$4', 'apply', '[0-9]+:', 'c.')","[116894, 116947, 117219, 117272, 117544, 117597, 117869, 117922, 118194, 118247, 118519, 118572, 118844, 118897, 119169, 119222]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'I')","[22028, 22077, 27770, 27819, 68954, 69003, 77072, 77121, 89348, 89397, 89645, 89694, 101327, 101376]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'X')","[21038, 21087, 43808, 43857, 70538, 70587, 105386, 105435]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'l')","[9653, 9702, 16583, 16632, 16682, 16731, 16880, 16929, 22622, 22671, 26780, 26829, 32225, 32274, 34799, 34848, 36086, 36135, 38660, 38709, 51134, 51183, 51728, 51777, 52718, 52767, 56579, 56628, 60341, 60390, 67469, 67518, 72716, 72765, 73805, 73854, 80636, 80685, 83903, 83952, 90635, 90684, 93110, 93159, 93209, 93258, 93407, 93456, 102515, 102564, 110138, 110187, 115088, 115137, 115979, 116028]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 's')","[347, 396, 2327, 2376, 6188, 6237, 8762, 8811, 15890, 15939, 16187, 16236, 17078, 17127, 23315, 23364, 23711, 23760, 29156, 29205, 32324, 32373, 33116, 33165, 37274, 37323, 37670, 37719, 39452, 39501, 39848, 39897, 41234, 41283, 45095, 45144, 45293, 45342, 45986, 46035, 48065, 48114, 48362, 48411, 50540, 50589, 50738, 50787, 53510, 53559, 54401, 54450, 56876, 56925, 57569, 57618, 57866, 57915, 57965, 58014, 59945, 59994, 61727, 61776, 62816, 62865, 63014, 63063, 63608, 63657, 65786, 65835, 65885, 65934, 68063, 68112, 71429, 71478, 74201, 74250, 74498, 74547, 76775, 76824, 77666, 77715, 77864, 77913, 79151, 79200, 81428, 81477, 81824, 81873, 84398, 84447, 85091, 85140, 88952, 89001, 91229, 91278, 96179, 96228, 97070, 97119, 99446, 99495, 103307, 103356, 103703, 103752, 106574, 106623, 107267, 107316, 107366, 107415, 109148, 109197, 109346, 109395, 112910, 112959, 113801, 113850]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '(')","[4703, 4752, 10841, 10890, 21632, 21681, 27671, 27720, 49352, 49401, 53807, 53856, 99644, 99693]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '+')","[42224, 42273]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'B')","[1238, 1287, 15395, 15444, 17276, 17325, 83408, 83457, 114593, 114642]"
