"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'android.app.ContextImpl$8')","[86967, 86994, 87080, 87108]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'shouldReturnExternalDirectoryPath(com.navercorp.utilset.storage.DiskUtilsTest)')","[2290, 3478]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', 'com\\.android\\.internal\\.R(\\$.*)?', 'org.robolectric.shadows.ShadowUri$ShadowStringUri')","[27045, 27080, 27188, 27224]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', 'com\\.android\\.internal\\.R(\\$.*)?', 'org.robolectric.shadows.ShadowContextImpl$Shadow10')","[101558, 101601, 101733, 101777]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'org.robolectric.shadows.ShadowPackageManager$ShadowNameNotFoundException')","[209417, 209455, 209574, 209613]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', 'com\\.android\\.internal\\.R(\\$.*)?', 'java.util.zip.GZIPInputStream')","[220592, 220621]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', 'com\\.android\\.internal\\.R(\\$.*)?', 'java.lang.Boolean')","[42823, 42874]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'org.robolectric.shadows.ShadowHandler')","[78596, 78632, 78745, 78782]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'android.app.ContextImpl$15')","[88535, 88562, 88648, 88676]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'java.lang.reflect.InvocationTargetException')","[8265, 8287]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'java.lang.StringBuilder')","[29310, 29349]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'shouldBeFalseForNotInstalledPackage(com.navercorp.utilset.ui.ActivityUtilsTest)')","[1794, 3313]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', 'com\\.android\\.internal\\.R(\\$.*)?', 'android.text.Editable')","[132600, 132637, 132751, 132789]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'org.fest.reflect.method.MethodName')","[84136, 84156, 84221, 84242]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'org.fest.reflect.method.MethodParameterTypes')","[84472, 84492, 84557, 84578]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'org.robolectric.shadows.ShadowDrawable')","[18720, 18739, 18801, 18821]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'android.graphics.drawable.Drawable$Callback')","[137475, 137522, 137668, 137716]"
"('Setup.java', 'org.robolectric.bytecode.Setup', 'shouldAcquire', '.*\\.R(|\\$[a-z]+)$', 'android.app.ActivityThread$ReceiverData')","[61984, 62010, 62093, 62120]"
