"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.epson.quickanime')",[44176]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.fdsn.mseed')",[45430]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.sun.xml.calc')",[68238]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/mpeg4-iod')",[32447]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'video/vnd.vivo')",[106147]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-compress')",[75073]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.oasis.opendocument.text-web')",[60612]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-dwg')",[92538]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.nokia.conml+xml')",[57835]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'audio/vnd.dolby.pl2z')",[88276]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.uplanet.channel')",[70460]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-sc')",[79340]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.palm')",[64021]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'video/mp2p')",[103811]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.vcx')",[70859]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/example')",[28976]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'image/jpeg')",[91179]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'image/x-raw-epson')",[95099]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-gtar')",[77009]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'text/vnd.sun.j2me.app-descriptor')",[101647]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.3gpp.pic-bw-var')",[38195]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'video/example')",[103184]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'model/vnd.dwf')",[97320]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'audio/x-realaudio')",[90097]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'audio/dsr-es202050')",[83319]
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?is)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/vnd.dir-bi.plate-dl-nosuffix')",[42295]
