"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 264515K->2339K(423936K), 0.0287910 secs]')",[256863]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     bool AlwaysActAsServerClassMachine             = false           {product}           ')","[63201, 163240, 192682, 223215]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' bool TraceSuspendWaitFailures             = false            {product}')",[51345]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '2013-02-11T20:15:26.856-0600: 0.248: [Full GC 487K->487K(62848K), 0.0035390 secs]')",[126753]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     bool PerfBypassFileSystemCheck                 = false           {product}           ')","[94809, 176020, 205462, 235995]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testDefaults(com.google.caliper.options.ParsedOptionsTest)')","[120, 2629]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '168       java.nio.CharBuffer::hasArray (20 bytes)')",[138969]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool TraceSafepointCleanupTime                 = false           {product}           ')","[110457, 182404, 211846, 242379]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '    uintx MarkSweepDeadRatio                        = 5               {product}           ')",[87105]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool DebugInlinedCalls                         = true            {diagnostic}        ')",[74769]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 264486K->2342K(423936K), 0.0559560 secs]')",[269595]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     intx ClearFPUAtPark                            = 0               {product}           ')","[72729, 167500, 196942, 227475]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', 'uintx CMSOldPLABMin                        = 16               {product}')",[12537]
