"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|/)"", 't')","[2592, 3744, 4392, 4824, 10059, 14769, 15857, 16469, 16877]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|[/?])"", 'o')",[12114]
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|[/?])"", 'z')","[10758, 11315]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|/)"", '9')","[4932, 16979]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|/)"", 'r')","[1908, 2844, 3708, 4212, 4572, 5004, 14123, 15007, 15823, 16299, 16639, 17047]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|[/?])"", '2')","[5756, 6077, 6611, 6932, 7145]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|/)"", 'C')","[1152, 13409]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|/)"", 'R')","[4428, 16503]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|/)"", '0')","[5400, 17421]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|[/?])"", 'r')","[10583, 11140, 11662]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|[/?])"", 'q')","[8039, 8504, 8933]"
"('Dump.java', 'com.google.code.zaproxy.Dump', 'escapeIfNotMatched', ""(?:[A-Za-z]|[0-9]|[-\\._~]|[!$&'*+;=]|[:@]|[/?])"", '4')",[7574]
