"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\/', '2')","[2067, 2091, 2802, 2826, 5382, 5407, 6147, 6172]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\)', '/')","[1283, 1307, 4566, 4591]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\/', '22')","[597, 621, 3852, 3877]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'null')",[17]
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '(')","[2410, 2434, 5739, 5764]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\(', '*')","[2263, 2287, 5586, 5611]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\d+', '2')","[2116, 2140, 2851, 2875, 5433, 5458, 6198, 6223]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\d+', '33')","[1087, 1111, 4362, 4387]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\)', '1')","[3096, 3120, 6453, 6478]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'createExpressionElement_Ok(com.epam.mep.ExpressionElementFactoryTest)')","[177, 305]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\+', '+')","[744, 768, 4005, 4030]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\+', ')')","[3341, 3365, 6708, 6733]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\)', '2')","[1969, 1993, 2704, 2728, 5280, 5305, 6045, 6070]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'parse_Ok(com.epam.mep.MathExpressionParserTest)')","[217, 327]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\/', '/')","[1381, 1405, 4668, 4693]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', ')')","[3292, 3316, 6657, 6682]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\(', '(')","[2508, 2532, 5841, 5866]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\*', '3')","[1626, 1650, 4923, 4948]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\d+', '1')","[3243, 3267, 6606, 6631]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\(', ')')","[3390, 3414, 6759, 6784]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '+')","[695, 719, 3954, 3979]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '/')","[1136, 1160, 4413, 4438]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\(', '22')","[450, 474, 3699, 3724]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\(', '2')","[1920, 1944, 2655, 2679, 5229, 5254, 5994, 6019]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\)', '22')","[499, 523, 3750, 3775]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'buildRegExp_Ok(com.epam.mep.ExpressionElementsRegExpBuilderTest)')","[137, 283]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\/', '3')","[1675, 1699, 4974, 4999]"
