"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 509:             1             16  sun.net.www.protocol.file.Handler')",[14954]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', 'Total         75347        8913432')",[42623]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 297:             2             48  sun.misc.NativeSignalHandler')","[9230, 23216, 36929]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 476:             1             16  sun.misc.Launcher')",[14063]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 210:             3            120  [Ljava.lang.annotation.ElementType;')",[34667]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 376:             2             32  java.nio.ByteOrder')","[11363, 25349, 38983]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 332:             1             40  sun.nio.cs.StandardCharsets$Aliases')",[37839]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 381:             1             24  org.apache.maven.surefire.report.ReporterConfiguration')",[11498]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 507:             1             16  org.junit.runner.manipulation.Filter$1')",[14900]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 229:             4             96  sun.jvmstat.monitor.Variability')",[35161]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 184:             4            192  java.nio.HeapByteBuffer')",[33991]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 198:             6            144  sun.misc.PerfCounter')",[34355]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 314:             2             48  java.net.InetAddress$CacheEntry')","[9689, 23675]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 466:             1             16  org.junit.validator.AnnotationValidatorFactory')","[27779, 41323]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 312:             2             48  java.nio.charset.CoderResult')","[9635, 23621, 37319]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 228:             1             96  [Ljava.lang.invoke.MethodType;')",[21353]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 207:             8            128  java.util.Collections$UnmodifiableCollection')",[6800]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 218:             5            120  java.lang.ThreadLocal$ThreadLocalMap')",[7097]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 213:             5            120  java.util.regex.Pattern$1')",[6962]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 174:             2            208  java.util.concurrent.ThreadLocalRandom')",[33731]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 333:             1             40  org.apache.maven.surefire.testset.DirectoryScannerParameters')","[10202, 24188]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  75:            32           1536  sun.misc.URLClassPath$JarLoader')",[31157]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 457:             1             16  org.apache.maven.surefire.util.TestsToRun')","[27536, 41089]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 282:             2             64  org.junit.runners.BlockJUnit4ClassRunner')","[22811, 36539]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  30:           126          10888  [Ljava.util.HashMap$Entry;')","[16007, 29987]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 328:             1             40  org.apache.maven.surefire.junitcore.pc.ParallelComputerBuilder$PC$1')",[37735]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 246:             1             80  java.net.URI')",[7853]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 158:            11            264  javassist.bytecode.AnnotationsAttribute')",[19463]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 209:             8            128  javassist.bytecode.ConstInfoPadding')",[20840]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 180:             8            192  java.lang.annotation.ElementType')",[6071]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  80:            22           1408  java.util.jar.JarFile')",[17357]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  80:            18           1384  [Ljava.util.concurrent.ConcurrentHashMap$Segment;')","[3371, 31287]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 131:             9            432  javassist.CtPrimitiveType')",[32613]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  87:             1           1040  [Ljava.lang.Integer;')",[3560]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 116:             1            528  [Ljava.lang.invoke.MethodType$WeakInternSet$Entry;')",[18329]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 333:             1             40  sun.tools.attach.LinuxVirtualMachine')",[37865]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 177:             5            200  org.apache.maven.surefire.junitcore.pc.Scheduler')",[5990]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 228:             3             96  java.util.ArrayList$Itr')",[7367]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  59:            56           2688  java.lang.Class$ReflectionData')",[30741]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 405:             1             24  java.util.concurrent.Executors$DefaultThreadFactory')",[12146]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 311:             2             48  java.lang.invoke.MethodHandles$Lookup')","[9608, 23594, 37293]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  36:           202           6464  java.io.FileOutputStream')",[16169]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 477:             1             16  sun.tools.attach.LinuxAttachProvider')",[14090]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 299:             2             48  sun.misc.URLClassPath$FileLoader')","[9284, 23270, 36981]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 120:            31            496  java.util.HashMap$Values')",[4451]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  41:           149           5960  java.lang.ref.SoftReference')",[2318]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 226:             2             96  java.lang.ThreadGroup')",[7313]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 243:             2             80  java.util.Locale$Category')",[21758]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 335:             1             40  sun.nio.cs.StandardCharsets$Classes')",[37917]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  89:             1           1040  [Ljava.lang.Byte;')",[3614]
