regexes
2
1
1
1
1
1
1
1
1
1
1
1
2
1
3
1
1
1
1
15
19
1
4
2
22
10
16
6
14
28
8
2
1
1
1
1
1
1
1
1
52
1
1
2
1
1
1
3
10
9
4
1
1
3
1
2
2
1
1
1
1
1
5
1
4
2
1
1
1
1
1
2
1
1
1
1
1
1
1
1
9
1
1
15
1
6
1
1
2
9
1
1
1
1
3
1
2
1
2
1
2
2
1
1
1
1
1
3
1052
4
41
447
1
2
44
1
1
2
1
1
1
2
1
1
1
1
1
1
1
4
1
10
4
4
6
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
4
1
1
1
3
1
1
1523
1
16
2
1
1
6
6
1
1
1
1
1
3
1
1
1
3
1
4
4
3
1
8
1
1
1
1
1
1
1
1
6
2
1
1
1
1
5
1
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
22
1
1
1
1
1
1
1
160
1
1
1
1
1
90
1
1
1
1
6
1
2
1
1
1
1
18
1
1
1
3
1
1
1
5
1
1
12
5
2
2
1
1
5
5
1
5
6
5
1
2
1
1
1
18
5
2
1
3
1
1
8
10
10
10
10
10
3
1
2
1
3
1
3
1
1
1
1
1
19
1
1
2
1
1
2
2
1
1
1
1
1
1
1
1
4
1
5
1
1
1
1
1
12
10
3
1
10
3
4
4
1
1
1
1
1
2
1
1
2
1
1
3
1
2
1
1
1
1
1
1
1
1
1
2
1
2
1
1
1
1
1
1
5
2
1
4
1
1
2
2
2
1
3
2
1
1
1
1
1
1
1
1
4
1
1
1
1
1
1
1
18
2
2
1
3
1
2
1
1
25
3
1
1
3
1
1
2
2
1
1
1
1
1
1
1
1
1
1
1
5
1
1
1
1
1
2
2
1
1
1
1
2
2
1
1
1
1
4
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
4
2
2
2
1
3
1
1
1
1
2
1
1
2
1
1
2
1
3
1
1
1
2
1
6
1
1
2
1
593
1
1
1
1
1
1
1
2
1
1
2
5
2
2
1
1
5
4
6
4
1
1
1
1
3
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
3
1
1
1
2
2
2
1
2
1
3
2
1
1
1
1
1
1
24
1
1
1
1
1
1
1
1
1
1
1
1
1
3
1
10
13
5
1
4
1
1
1
1
2
1
1
5
20
1
3
2
1
1
1
1
2
1
1
4
2
5
1
1
1
4
1
1
1
1
5
11
1
2
2
1
1
1
1
3
1
1
1
3
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
1
1
2
8
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
13
1
1
1
3
1
1
1
1
3
7
1
1
1
2
1
1
4
2
17
1
5
1
1
2
1
1
1
2
1
1
2
4
1
1
1
1
1
1
2
1
5
1
1
1
1
1
1
1
1
9
3
2
1
1
1
1
1
1
2
3
1
1
3
1
1
1
28
5
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
2
2
3
2
2
1
1
1
1
3
1
1
1
1
1
1
1
1
6
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
6
44
1
3
1
2
4
1
1
1
1
1
10
2
1
1
1
1
14
1
1
1
1
1
1
16
1
1
1
3
2
1
1
1
9
1
5
1
1
1
1
1
1
1
4
1
1
1
1
1
7
12
1
1
1
1
1
5
1
1
1
1
1
8
1
1
1
1
2
1
1
4
2
1
1
1
1
1
1
1
1
3
1
9
4
1
1
1
4
4
1
2
6
2
4
6
4
77
1
1
2
2
3
1
1
2
1
3
1
2
2
14
17
2
2
1
1
1
1
2
1
3
1
4
1
8
1
2
6
4
2
3
1
1
31
1
2
1
1
4
3
1
6
1
1
6
26
1
20
1
10
5
1
1
1
1
8
1
1
3
6
3
1
60
1
2
1
1
1
1
1
1
2
1
1
1
2
2
1
1
1
2
2
1
1
5
8
8
8
8
8
8
5
4
1
1
9
1
1
1
1
1
1
1
3
1
2
2
1
1
1
4
1
1
4
2
2
1
1
1
3
88
2
2
10
7
1
